title,city,country,apartment_type,district,guests,bedrooms,beds,baths,amenities,price,rating,reviews,is_superhost,listing_url,image_url
Designer Loft,Vienna,Austria,Entire loft,Penzing,4,1,2,1 bath,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",70,4.68,315,FALSE,https://www.airbnb.com/rooms/18289961?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/12aa8ef5-b4fd-4527-8c76-eb3982b933a9.jpg?im_w=720
High ceiling and art stay,Vienna,Austria,Entire apartment,Leopoldstadt,4,1,0,1 bath,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",74,4.89,114,TRUE,https://www.airbnb.com/rooms/21659990?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/9a87aad3-7a66-4d9e-8266-3ca73d7918d7.jpg?im_w=720
White Pearl 3 - just 15 min to City Center !!!,Vienna,Austria,Entire apartment,Favoriten,4,Studio,2,1.5 baths,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",41,4.91,76,TRUE,https://www.airbnb.com/rooms/41048469?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/7c3884bd-c9f4-45d6-980e-a48813735398.jpg?im_w=720
"Zimmer mit Terrasse in Wien Nähe U1, U2- RG28 C",Vienna,Austria,Private room,Leopoldstadt,2,1,2,1 shared bath,"['Wifi', 'Kitchen', 'Heating']",20,4.18,65,FALSE,https://www.airbnb.com/rooms/36994572?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/70b84d77-ede5-42b9-85f0-070d028e348b.jpg?im_w=720
TOP Location - Charming Apartment,Vienna,Austria,Entire apartment,Neubau,4,1,2,1 bath,"['Wifi', 'Kitchen', 'Heating']",79,4.82,173,FALSE,https://www.airbnb.com/rooms/21536342?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/ca8de1ce-0605-4738-819b-e5b510d70c41.jpg?im_w=720
"Brand New, 5th floor/lift, quiet, bright,...",Vienna,Austria,Entire apartment,Landstraße,4,Studio,1,1 bath,"['Wifi', 'Kitchen', 'Heating']",51,4.8,99,FALSE,https://www.airbnb.com/rooms/32060538?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/ddd98021-4d74-470a-a982-30cb5253fd16.jpg?im_w=720
Luxury bright Central Apartment,Vienna,Austria,Entire apartment,Favoriten,4,1,1,1.5 baths,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",46,,,FALSE,https://www.airbnb.com/rooms/48056371?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/2afb8005-241d-4405-8eb3-4d1f06b1ce7b.jpg?im_w=720
City Center Apartment with balcony,Vienna,Austria,Entire apartment,Innere Stadt,4,1,1,1 bath,"['Wifi', 'Heating']",76,5,3,TRUE,https://www.airbnb.com/rooms/47560073?adults=1&children=0&infants=0&check_in=2021-05-21&check_out=2021-05-23&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/d0cb3e1b-cffe-4505-8fbc-aa9e53c082ee.jpg?im_w=720
Campingbus Wien,Vienna,Austria,Camper/RV,Alsergrund,2,1,1,0 baths,"['Kitchen', 'Heating']",46,,,FALSE,https://www.airbnb.com/rooms/45420568?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/bb2e8ca5-0cb4-45a3-badf-b5e7a9f9590a.jpg?im_w=720
Inner City Flat,Vienna,Austria,Entire apartment,Alsergrund,5,1,3,1.5 baths,"['Wifi', 'Kitchen', 'Heating']",35,3.1,10,FALSE,https://www.airbnb.com/rooms/47932227?adults=1&children=0&infants=0&check_in=2021-05-07&check_out=2021-05-09&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/8c406eda-b224-4d0a-8612-9b2c6aaf6419.jpg?im_w=720
Brand New Loftappartment with Rooftop Terrace,Vienna,Austria,Entire loft,Neubau,7,2,7,2 baths,"['Wifi', 'Kitchen', 'Heating']",296,4.89,104,TRUE,https://www.airbnb.com/rooms/36997269?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/37ef63b0-f7f0-4462-af0a-08c9e6661f48.jpg?im_w=720
Visit-Vienna - Bright roof terrace apartment,Vienna,Austria,Entire apartment,Penzing,4,1,2,1 bath,"['Wifi', 'Kitchen', 'Self check-in', 'Heating']",68,4.96,202,FALSE,https://www.airbnb.com/rooms/18480394?adults=1&children=0&infants=0&check_in=2021-05-28&check_out=2021-05-30&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/1c0b0222-fc68-457a-968a-091738cd07d5.jpg?im_w=720
Stay in the City Center - Stephansplatz - Vienna,Vienna,Austria,Entire apartment,Innere Stadt,3,1,2,1.5 baths,"['Wifi', 'Kitchen', 'Heating']",97,4.87,133,FALSE,https://www.airbnb.com/rooms/21615764?adults=1&children=0&infants=0&check_in=2021-06-04&check_out=2021-06-06&previous_page_section_name=1000&federated_search_id=a39b7f43-23ed-4c0b-91d7-97ba2a5e9454,https://a0.muscache.com/im/pictures/da22a11d-8d93-498f-8c43-32b280c63769.jpg?im_w=720
